fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
96,185,Milford,1,1,87.22193338,0,82,39,43,9,48,25,78,0,1,0,0,0,3,0,29,17,6,5,1,0,0,4,3,1,0,0,0,0,0,427,0,13,0,25,41,0,12,0,0,0,13,28,57,32,147,59
64,187,Millis,1,0,88.90747001,1,325,166,159,90,200,35,313,0,0,7,0,0,3,2,81,28,21,18,12,0,2,48,40,7,0,1,0,0,0,604,12,0,13,55,0,0,32,35,36,43,20,84,89,56,61,68
95,187,Millis,1,1,88.90747001,1,123,68,55,27,82,14,121,1,0,0,0,0,0,1,32,13,9,5,4,0,1,13,9,2,0,0,2,0,0,393,0,15,0,0,8,0,0,0,0,15,15,16,46,30,135,113
39,189,Milton,1,0,98.11171772,1,701,289,412,134,277,290,633,34,0,11,0,0,10,13,166,83,27,25,19,10,2,183,181,2,0,0,0,0,0,598,0,15,13,39,31,46,24,18,20,46,44,13,25,41,61,162
126,189,Milton,1,1,98.11171772,1,127,59,68,48,66,13,121,6,0,0,0,0,0,0,33,9,8,9,4,3,0,10,9,1,0,0,0,0,0,598,0,15,13,39,31,46,24,18,20,46,44,13,25,41,61,162
114,196,Nahant,1,1,100,1,83,46,37,13,59,11,78,2,0,0,0,0,0,3,22,10,2,8,2,0,0,13,11,2,0,0,0,0,0,228,9,38,10,0,20,0,0,18,0,0,18,21,5,11,19,59
11,198,Natick,1,0,92.66284607,1,560,235,325,65,442,53,410,13,1,98,0,10,10,18,111,66,32,10,2,1,0,241,206,35,0,0,0,0,0,1122,17,40,23,18,77,66,8,30,46,188,79,133,169,49,106,73
124,198,Natick,1,1,92.66284607,1,247,123,124,57,143,47,223,1,0,15,0,1,0,7,76,42,10,17,4,3,0,24,21,3,0,0,0,0,0,374,17,0,0,0,0,0,18,0,0,0,16,36,0,0,50,237
55,199,Needham,1,0,85.00465652,1,140,72,68,49,74,17,125,4,0,7,0,0,3,1,38,13,6,10,6,2,1,3,2,1,0,0,0,0,0,637,26,0,0,0,0,7,0,8,8,28,0,24,60,41,91,344
127,199,Needham,1,1,85.00465652,1,513,244,269,131,312,70,450,7,1,38,0,0,15,2,157,63,39,36,13,4,2,17,12,4,1,0,0,0,0,506,21,0,0,0,0,0,0,0,15,0,14,15,79,42,45,275
