fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
17,2,Acton,1,0,3.39519045,1,545,261,284,188,308,49,291,6,0,229,0,0,10,9,151,40,28,60,18,4,1,16,13,2,1,0,0,0,0,871,0,28,8,21,49,0,19,26,14,19,62,101,80,90,55,299
100,2,Acton,1,1,3.39519045,1,545,261,284,188,308,49,291,6,0,229,0,0,10,9,151,40,28,60,18,4,1,16,13,2,1,0,0,0,0,931,0,97,0,30,15,0,17,29,36,66,25,51,58,159,80,268
36,10,Arlington,1,0,66.83652562,1,88,44,44,14,66,8,83,3,0,0,0,0,0,2,23,10,8,3,2,0,0,16,10,6,0,0,0,0,0,995,26,66,34,78,44,11,46,37,49,33,44,151,119,134,41,82
108,10,Arlington,1,1,66.83652562,1,565,278,287,137,343,85,502,14,0,20,0,3,13,13,171,75,38,47,8,3,0,43,35,6,0,2,0,0,0,218,0,0,0,0,13,0,12,15,0,0,13,0,12,44,64,45
42,14,Ashland,1,0,85.06239652,1,74,33,41,8,62,4,51,0,0,15,0,0,1,7,18,11,4,2,0,1,0,21,17,3,1,0,0,0,0,1180,33,27,34,28,0,0,41,14,0,48,174,167,158,121,258,77
109,14,Ashland,1,1,85.06239652,1,572,270,302,157,378,37,480,19,0,30,0,5,26,12,165,57,54,40,9,2,3,37,22,11,4,0,0,0,0,1472,15,16,18,17,14,0,16,32,43,31,104,53,220,114,330,449
13,23,Bedford,1,0,0,1,875,425,450,216,548,111,681,21,10,117,0,0,22,24,257,119,55,66,12,2,3,91,78,12,0,0,1,0,0,1070,14,12,0,20,0,0,0,15,0,41,80,164,88,69,109,458
75,25,Bellingham,1,0,0,1,604,279,325,142,366,96,558,1,0,31,0,1,4,9,165,61,49,34,16,2,3,66,57,6,3,0,0,0,0,1085,24,14,14,28,0,0,31,48,0,41,104,173,55,153,243,157
71,26,Belmont,1,0,75.01661803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,20,42,14,16,37,23,17,8,26,0,30,79,51,71,57,137
139,26,Belmont,1,1,75.01661803,1,231,120,111,61,110,60,200,0,0,24,0,0,6,1,68,32,12,12,7,1,4,12,10,2,0,0,0,0,0,341,18,0,10,0,0,0,0,0,0,14,16,50,0,40,9,184
21,30,Beverly,1,0,28.56798483,1,98,50,48,31,55,12,98,0,0,0,0,0,0,0,30,12,7,7,4,0,0,4,3,1,0,0,0,0,0,145,0,0,19,0,0,0,0,0,0,0,0,0,0,15,37,74
147,30,Beverly,1,1,28.56798483,1,654,310,344,121,419,114,630,1,0,8,0,0,6,9,183,80,49,37,15,2,0,90,72,15,2,1,0,0,0,1405,55,139,77,135,85,14,11,26,32,38,147,118,122,116,182,108
150,34,Bolton,1,1,100,0,169,84,85,51,101,17,159,0,0,0,0,0,4,6,51,26,5,12,6,2,0,9,6,3,0,0,0,0,0,967,10,27,24,6,21,6,15,16,16,18,79,70,70,31,183,375
1,35,Boston,1,0,0,0,1369,591,778,218,839,312,937,90,1,115,0,9,26,191,328,148,82,55,24,13,6,316,284,30,1,1,0,0,0,561,75,30,19,39,14,55,0,7,30,33,43,74,57,14,26,45
87,37,Boxborough,1,0,0,1,369,173,196,109,220,40,314,0,0,40,0,1,0,14,105,31,27,32,12,2,1,17,15,2,0,0,0,0,0,1026,19,26,0,38,9,0,0,19,20,37,99,133,83,98,187,258
25,40,Braintree,1,0,0,1,924,401,523,146,591,187,818,25,0,54,0,8,9,10,223,127,42,26,23,1,4,258,231,26,0,0,1,0,0,792,16,18,16,0,16,27,16,47,20,16,90,86,54,133,128,109
26,46,Brookline,1,0,69.47470893,1,573,268,305,120,402,51,423,11,2,100,1,0,22,14,119,47,24,30,12,2,4,102,58,26,11,3,2,1,1,1330,13,0,34,13,0,35,17,48,21,24,105,90,154,216,248,312
143,46,Brookline,1,1,69.47470893,1,223,105,118,34,116,73,199,3,0,6,0,0,9,6,64,36,12,8,6,2,0,27,25,2,0,0,0,0,0,545,33,0,0,0,0,14,0,0,0,28,52,80,49,15,65,209
31,48,Burlington,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,87,10,21,27,11,10,50,11,9,12,50,159,54,88,82,116
27,49,Cambridge,1,0,0,1,413,162,251,49,193,171,307,31,1,48,0,3,4,19,73,31,24,10,6,2,0,46,34,10,1,1,0,0,0,783,47,53,0,0,17,54,44,51,22,0,19,63,138,98,35,142
28,50,Canton,1,0,0,1,492,233,259,152,276,64,369,46,2,34,0,4,15,22,132,40,28,29,27,8,0,19,13,4,1,0,1,0,0,1138,84,74,39,26,0,0,0,32,0,27,92,183,93,14,167,307
91,51,Carlisle,1,0,0,1,380,195,185,89,233,58,345,1,1,18,1,0,9,5,115,53,27,22,12,1,0,29,19,10,0,0,0,0,0,947,18,8,0,23,19,30,19,39,9,23,23,55,38,87,154,402
60,57,Chelsea,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,44,31,30,62,48,7,14,15,36,34,23,67,23,0,18,82
90,65,Cohasset,1,0,0,1,679,340,339,218,382,79,645,5,1,10,0,0,9,9,188,62,42,50,29,4,1,43,35,8,0,0,0,0,0,764,0,17,39,67,64,0,15,19,0,150,17,76,42,29,63,166
22,67,Concord,1,0,0,1,392,190,202,106,216,70,361,0,0,17,0,0,3,11,120,58,17,29,12,4,0,22,19,3,0,0,0,0,0,270,0,0,0,16,0,0,0,0,32,0,36,17,15,24,13,117
92,71,Danvers,1,0,0,1,95,32,63,13,33,49,93,0,1,0,0,0,1,0,10,4,2,1,2,1,0,51,49,0,2,0,0,0,0,1606,23,51,75,21,96,120,69,21,75,93,91,171,193,128,136,243
2,73,Dedham,1,0,0,1,119,57,62,25,68,26,111,0,0,1,0,0,0,7,35,17,7,7,3,0,1,11,8,3,0,0,0,0,0,1034,10,22,8,60,8,65,48,53,15,69,77,39,60,69,147,284
152,78,Dover,1,1,100,1,56,32,24,11,35,10,53,0,0,2,0,0,0,1,18,11,3,1,3,0,0,5,4,1,0,0,0,0,0,552,10,6,0,0,0,0,0,10,12,0,27,34,50,10,39,354
102,82,Duxbury,1,1,100,1,579,258,321,182,324,73,568,0,0,3,0,1,1,6,145,47,24,39,23,10,2,54,48,6,0,0,0,0,0,508,23,25,0,4,34,0,0,5,14,6,10,24,38,49,148,128
34,92,Essex,1,0,0.148950953,1,389,193,196,89,261,39,377,3,0,3,0,0,0,6,106,43,26,25,7,4,1,42,32,8,2,0,0,0,0,476,44,0,0,0,0,0,42,12,41,38,9,9,88,19,37,137
151,92,Essex,1,1,0.148950953,1,25,14,11,1,13,11,25,0,0,0,0,0,0,0,6,4,1,1,0,0,0,7,5,1,1,0,0,0,0,476,44,0,0,0,0,0,42,12,41,38,9,9,88,19,37,137
93,93,Everett,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,69,0,116,17,0,0,0,66,71,125,151,45,69,85,73,43
94,99,Foxborough,1,0,92.78636919,1,392,195,197,92,244,56,372,7,3,2,0,1,5,2,96,41,20,20,10,5,0,70,54,14,1,0,1,0,0,979,16,0,96,33,20,129,55,43,30,49,215,74,74,48,41,56
153,99,Foxborough,1,1,92.78636919,1,303,156,147,76,193,34,282,9,0,6,0,0,6,0,82,25,20,21,12,4,0,16,9,6,0,1,0,0,0,304,0,17,0,0,0,0,0,0,0,0,54,85,29,0,27,92
3,100,Framingham,1,0,86.35750012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,45,0,14,0,43,0,14,10,34,14,44,33,26,123,32
107,100,Framingham,1,1,86.35750012,1,696,351,345,145,427,124,594,19,0,48,0,4,10,21,218,107,53,40,15,2,1,41,27,8,5,0,0,0,1,858,98,79,34,14,14,52,19,0,34,0,85,63,36,13,124,193
38,101,Franklin,1,0,0,1,1324,660,664,483,786,55,1207,5,3,69,0,0,18,22,357,75,91,123,46,14,8,27,21,5,0,1,0,0,0,813,0,7,35,0,8,17,7,0,0,35,41,10,54,26,168,405
5,107,Gloucester,1,0,3.344654745,1,589,289,300,138,383,68,568,0,0,4,0,2,11,4,163,70,36,36,17,0,4,62,45,16,1,0,0,0,0,854,21,0,36,21,9,16,15,36,25,100,63,145,72,77,118,100
106,107,Gloucester,1,1,3.344654745,1,265,141,124,27,179,59,253,2,1,3,0,0,2,4,69,46,9,11,2,0,1,74,67,7,0,0,0,0,0,657,15,15,0,0,0,0,60,52,12,31,16,94,111,49,89,113
37,119,Hamilton,1,0,0,1,253,132,121,64,166,23,241,0,0,7,0,0,3,2,65,17,19,14,11,3,1,15,9,5,0,0,0,1,0,554,108,0,24,10,9,19,0,8,17,34,0,8,6,25,87,199
111,122,Hanover,1,1,100,1,678,342,336,193,410,75,663,2,0,1,0,1,8,3,192,61,48,57,16,6,4,32,25,6,1,0,0,0,0,1143,28,0,0,42,15,13,0,17,14,87,45,134,124,104,167,353
40,131,Hingham,1,0,0,1,340,170,170,85,192,63,326,1,0,2,0,0,3,8,100,42,24,18,14,2,0,22,18,3,0,0,0,1,0,2332,189,56,55,123,129,67,30,102,13,168,166,168,139,148,234,545
43,133,Holbrook,1,0,0,1,835,403,432,204,525,106,699,57,0,16,0,9,16,38,212,72,59,49,19,9,4,84,63,20,0,0,0,1,0,414,0,0,0,32,14,25,0,0,0,20,14,121,61,30,47,50
6,136,Holliston,1,0,0,1,99,47,52,26,60,13,86,0,0,5,0,0,3,5,32,15,8,7,2,0,0,6,5,1,0,0,0,0,0,761,27,10,0,0,27,37,0,0,20,70,23,36,102,77,100,232
110,139,Hopkinton,1,1,100,1,495,249,246,184,295,16,352,12,1,106,0,0,18,6,132,31,30,43,22,3,3,16,11,5,0,0,0,0,0,1076,24,11,0,0,23,38,28,12,33,22,54,38,83,92,209,409
4,141,Hudson,1,0,0,0,108,56,52,18,57,33,103,0,0,0,0,0,4,1,31,19,3,5,3,1,0,15,10,5,0,0,0,0,0,505,9,0,0,16,0,0,35,0,15,95,15,75,27,60,72,86
30,142,Hull,1,0,81.28142645,1,133,63,70,8,92,33,129,0,0,0,0,0,4,0,31,23,7,1,0,0,0,52,44,6,2,0,0,0,0,1177,55,28,71,50,83,62,10,19,43,54,144,132,113,107,119,87
112,142,Hull,1,1,81.28142645,1,301,149,152,59,205,37,284,2,0,5,0,1,3,6,75,39,12,17,4,3,0,66,51,15,0,0,0,0,0,1177,55,28,71,50,83,62,10,19,43,54,144,132,113,107,119,87
